=== Extensions ablation: 9 runs ===

[1/9] RUN  double_icm seed=0

=== Run: double_icm_seed0 ===
  Double DQN:         True
  Prioritized Replay: False
  ICM (curiosity):    True
  Reward shaping:     False

  Device: cpu
  Ep  510 | R   126.1 | Avg100    85.6 | Eps 0.010 | Loss 0.3630 | r_int   6.36 | t=103s
  Ep  520 | R    13.5 | Avg100    89.2 | Eps 0.010 | Loss 0.3211 | r_int   2.65 | t=107s
  Ep  530 | R   217.0 | Avg100    97.9 | Eps 0.010 | Loss 0.3353 | r_int   3.50 | t=110s
  Ep  540 | R   233.4 | Avg100   114.1 | Eps 0.010 | Loss 0.3715 | r_int   3.54 | t=112s
  Ep  550 | R   257.4 | Avg100   126.2 | Eps 0.010 | Loss 0.4120 | r_int   1.27 | t=115s
  Ep  560 | R    59.6 | Avg100   125.2 | Eps 0.010 | Loss 0.3085 | r_int   7.08 | t=118s
  Ep  570 | R    -3.8 | Avg100   132.1 | Eps 0.010 | Loss 0.3492 | r_int   3.08 | t=121s
  Ep  580 | R   169.0 | Avg100   140.2 | Eps 0.010 | Loss 0.2911 | r_int   5.43 | t=124s
  Ep  590 | R   282.5 | Avg100   155.5 | Eps 0.010 | Loss 0.2924 | r_int   3.69 | t=126s
  Ep  600 | R   284.0 | Avg100   158.1 | Eps 0.010 | Loss 0.3736 | r_int   3.80 | t=129s
  Ep  610 | R   215.8 | Avg100   167.8 | Eps 0.010 | Loss 0.3687 | r_int   6.29 | t=131s
  Ep  620 | R   200.8 | Avg100   182.6 | Eps 0.010 | Loss 0.3232 | r_int   5.27 | t=133s
  Ep  630 | R   246.6 | Avg100   185.0 | Eps 0.010 | Loss 0.3150 | r_int   4.18 | t=136s
  Ep  640 | R   238.8 | Avg100   182.4 | Eps 0.010 | Loss 0.4489 | r_int   4.27 | t=138s
  Ep  650 | R   254.1 | Avg100   185.3 | Eps 0.010 | Loss 0.3915 | r_int   4.09 | t=140s
  Ep  660 | R   195.0 | Avg100   193.0 | Eps 0.010 | Loss 0.5297 | r_int  10.59 | t=142s
  Ep  670 | R   217.7 | Avg100   198.3 | Eps 0.010 | Loss 0.4627 | r_int   7.30 | t=144s
  Ep  680 | R   -78.0 | Avg100   196.4 | Eps 0.010 | Loss 0.4024 | r_int  18.03 | t=147s
  Ep  690 | R     8.3 | Avg100   189.8 | Eps 0.010 | Loss 0.4061 | r_int  10.74 | t=149s
  Ep  700 | R   259.5 | Avg100   190.4 | Eps 0.010 | Loss 0.3916 | r_int   2.90 | t=151s
  Ep  710 | R   191.0 | Avg100   188.5 | Eps 0.010 | Loss 0.4018 | r_int   7.11 | t=154s
  Ep  720 | R   202.4 | Avg100   184.0 | Eps 0.010 | Loss 0.3723 | r_int  10.11 | t=157s
  Ep  730 | R   216.8 | Avg100   183.5 | Eps 0.010 | Loss 0.4209 | r_int   2.94 | t=159s
  Ep  740 | R   209.9 | Avg100   187.1 | Eps 0.010 | Loss 0.4225 | r_int   5.05 | t=161s
  Ep  750 | R   222.4 | Avg100   184.0 | Eps 0.010 | Loss 0.4415 | r_int   1.70 | t=163s
  Ep  760 | R   210.6 | Avg100   185.7 | Eps 0.010 | Loss 0.4563 | r_int   6.90 | t=166s
  Ep  770 | R   206.4 | Avg100   182.9 | Eps 0.010 | Loss 0.4204 | r_int   6.89 | t=168s
  Ep  780 | R   241.6 | Avg100   186.9 | Eps 0.010 | Loss 0.4236 | r_int  24.66 | t=170s
  Ep  790 | R   256.2 | Avg100   189.0 | Eps 0.010 | Loss 0.5230 | r_int   2.99 | t=173s
  Ep  800 | R   266.9 | Avg100   191.0 | Eps 0.010 | Loss 0.4950 | r_int  18.11 | t=175s
  Ep  810 | R   -28.0 | Avg100   195.4 | Eps 0.010 | Loss 0.3916 | r_int  43.53 | t=177s
  Ep  820 | R   170.6 | Avg100   196.2 | Eps 0.010 | Loss 0.4090 | r_int   6.69 | t=179s
  Ep  830 | R   155.8 | Avg100   192.4 | Eps 0.010 | Loss 0.4232 | r_int   6.36 | t=181s
  Ep  840 | R   261.9 | Avg100   196.3 | Eps 0.010 | Loss 0.3859 | r_int   6.33 | t=182s
  Ep  850 | R   295.6 | Avg100   197.9 | Eps 0.010 | Loss 0.4378 | r_int   4.05 | t=185s
